StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
anf.27.3a46,benthic,NA,21350,21572,326,NA,0.925,2019,2019,NA,59,NA,GREY,21572
ank.27.78abd,benthic,0.729,NA,10174,1109,1,0.729,2019,2018,NA,4.37,NA,GREY,10174
ldb.27.7b-k8abd,benthic,NA,1278,913,365,NA,NA,2019,2018,NA,NA,NA,GREY,1278
lez.27.4a6a,benthic,0.402,3258,3003,255,1,0.402,2019,2018,3.362,1.681,0.5,GREEN,3258
lez.27.6b,benthic,0.855,NA,763,203,1,0.855,2019,2019,2.45721785735584,1.22860892867792,0.5,GREEN,763
meg.27.7b-k8abd,benthic,0.93717277486911,14133,12279,1855,0.191,0.179,2019,2019,2.40174641148325,100393,41800,GREEN,14133
mon.27.78abd,benthic,0.892857142857143,23768,22371,1396,0.28,0.25,2019,2019,3.26995241942724,72848,22278,GREEN,23768
ple.27.7a,benthic,0.326530612244898,830,435,395,0.196,0.064,2019,2019,2.18796391458262,19160,8757,GREEN,830
ple.27.7bc,benthic,NA,NA,29,NA,NA,NA,2017,2016,NA,NA,NA,GREY,29
ple.27.7e,benthic,1.27975802628744,NA,1880,623.8,0.478996800495407,0.613,2019,2019,2.84049452517397,1.875,0.660096325968157,RED,1880
ple.27.7fg,benthic,0.326,930,422,508,1,0.326,2019,2019,3.1,1.55,0.5,GREEN,930
ple.27.7h-k,benthic,2.60501915708812,NA,38,NA,0.349325646041388,0.91,2019,2019,0.332119250103175,0.579,1.7433497149597,RED,38
sol.27.7a,benthic,0.07,38,36,2,0.2,0.014,2019,2019,0.879714285714286,3079,3500,RED,38
sol.27.7bc,benthic,NA,NA,43,NA,NA,NA,2017,2016,NA,NA,NA,GREY,43
sol.27.7e,benthic,0.786206896551724,NA,1075,3,0.29,0.228,2019,2019,1.64,4756,2900,GREEN,1075
sol.27.7fg,benthic,0.771043771043771,997,850,147,0.297,0.229,2019,2019,1.98384201077199,4420,2228,GREEN,997
sol.27.7h-k,benthic,0.688919254658385,NA,75,NA,0.679324894514768,0.468,2019,2019,0.780074701820466,0.865,1.10886816093554,RED,75
